name,rating,price,link
WD Blue SN550 250GB High-Performance M.2 Pcie NVMe SSD,4.8 ,36.83,http://www.amazon.co.uk/Blue-SN550-250GB-High-Performance-Pcie/dp/B07YFF8879/ref=sr_1_30?dchild=1&keywords=ssd+1tb&qid=1623945315&sr=8-30
WD_BLACK P10 2TB Game Drive for On-The-Go Access To Your Game Library - Works with Console or PC,4.8 ,67.99,http://www.amazon.co.uk/WD_Black-Game-Drive-Access-Library/dp/B07VMTNDMK/ref=sr_1_31?dchild=1&keywords=ssd+1tb&qid=1623945315&sr=8-31
Samsung 980 PRO 1 TB PCIe 4.0 M.2,4.8 ,182.99,http://www.amazon.co.uk/Samsung-7-000-Internes-Solid-MZ-V8P1T0BW/dp/B08GS7748F/ref=sr_1_32?dchild=1&keywords=ssd+1tb&qid=1623945315&sr=8-32
Sabrent 1TB Rocket NVMe PCIe M.2 2280 Internal SSD High Performance Solid State Drive (SB-ROCKET-1TB),4.8 ,N/A,http://www.amazon.co.uk/Sabrent-Rocket-Internal-Performance-SB-ROCKET-1TB/dp/B07LGF54XR/ref=sr_1_35?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-35
"Corsair MP600 PRO 1TB M.2 NVMe PCIe x4 Gen4 SSD (Up to 7,000MB/sec Sequential Read & 5,500MB/sec Sequential Write Speeds, High-Speed Interface, 3D TLC NAND, Built-in Heatspreader) Black",4.6 ,179.99,http://www.amazon.co.uk/Corsair-Sequential-High-Speed-Interface-Heatspreader/dp/B08T9ZNSFN/ref=sr_1_36?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-36
"LEVEN SSD 1TB SATA III 6Gb/s, 2.5 inch / 7 mm (0.28 inch), internal solid state drive - up to 500 MB/s - suitable for laptop and desktop - (JS600SSD1TB)",N/A,77.32,http://www.amazon.co.uk/LEVEN-internal-solid-state-drive/dp/B08HMTBPGS/ref=sr_1_37?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-37
SanDisk SDSSDH3-500G-G25 SSD Ultra 3D + Installation and Upgrade Kit,4.8 ,77.98,http://www.amazon.co.uk/SanDisk-SDSSDH3-500G-G25-Ultra-Installation-Upgrade/dp/B076B4X8XZ/ref=sr_1_38?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-38
"LaCie Portable SSD 1 TB Solid State Drive — USB-C USB 3.0, for Mac and PC Desktop, 1 Month Adobe CC (STHK1000800)",4.6 ,132.48,http://www.amazon.co.uk/LaCie-Portable-USB-C-External-Solid/dp/B07JJH3WG5/ref=sr_1_39?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-39
"Crucial MX500 1 TB CT1000MX500SSD4-Up to 560 MB/s (3D NAND, SATA, M.2 Type 2280SS, Internal SSD)",4.7 ,131.80,http://www.amazon.co.uk/Crucial-MX500-CT1000MX500SSD4-2280SS-Internal/dp/B0784SY515/ref=sr_1_40?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-40
"SSD M.2 2242 512GB KINGDATA Internal Solid State Drive for Desktop Laptop SATA III 6Gb/s 1tb 500gb 250gb 120gb High Performance Hard Drive(512GB,M.2 2242)",4.8 ,63.60,http://www.amazon.co.uk/M-2-2242-KINGDATA-Internal-Performance/dp/B08GPJN45F/ref=sr_1_41?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-41
Seagate BarraCuda 510 1TB SSD Internal Solid State Drive – Pcie NVMe 3D TLC NAND for Gaming PC Gaming Laptop Desktop (ZP1000CM30001),4.5 ,N/A,http://www.amazon.co.uk/Seagate-BarraCuda-Internal-Solid-State/dp/B08146P2YC/ref=sr_1_42?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-42
Netac NVMe SSD 1TB 2280mm High Performance Internal Solid State Drive (SSD) PCIe 1TB Black,4.6 ,N/A,http://www.amazon.co.uk/Netac-2280mm-Performance-Internal-Solid/dp/B0922FBX5S/ref=sr_1_44?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-44
"Seagate Game Drive for Xbox, 2 TB, External Hard Drive Portable HDD, Designed for Xbox One, and Two-year Rescue Services (STEA2000403) , Green",4.8 ,62.99,http://www.amazon.co.uk/Seagate-Game-Drive-Portable-External/dp/B01065S79E/ref=sr_1_45?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-45
Gigabyte AORUS Gen4 7000s 1TB NVMe Solid State Drive (PCI-Express 4.0 x4),5.0 ,189.99,http://www.amazon.co.uk/Gigabyte-AORUS-7000s-Solid-PCI-Express/dp/B08ZDHBLTP/ref=sr_1_46?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-46
"Corsair MP600 1TB M.2 NVMe PCIe x4 Gen4 SSD (Sequential Read Speeds of up to 4,950 MB/s and Write Speeds of up to 4,250 MB/s) Black",4.8 ,N/A,http://www.amazon.co.uk/Corsair-MP600-High-speed-Sequential-Speeds/dp/B07SQZYW2V/ref=sr_1_47?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-47
"ADATA XPG SX8200 Pro 1TB M.2 Gaming Solid State Drive (SSD), black",4.8 ,N/A,http://www.amazon.co.uk/ADATA-SX8200-Gaming-Solid-State/dp/B07K1J3C23/ref=sr_1_49?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-49
PNY CS2130 M.2 NVMe Internal Solid State Drive (SSD) 1TB - up to 3500 MB/s,4.8 ,85.48,http://www.amazon.co.uk/PNY-CS2130-Internal-Solid-State/dp/B0869B4Q66/ref=sr_1_50?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-50
"Kingston KC600 SSD SKC600B/1024G Internal SSD 2.5 Inch, SATA Rev 3.0, 3D TLC, XTS-AES 256-bit Encryption - with Upgrade Kit",4.8 ,138.48,http://www.amazon.co.uk/Kingston-SKC600B-1024G-Internal-Encryption/dp/B08144LC8J/ref=sr_1_51?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-51
"INDMEM 1TB NVMe PCIe SSD with Screwdriver Hard Drive Replacement for MacBook Pro Retina Late 2013 - Mid 2015, MacBook Air Mid 2013-2017, iMac Late 2013-2017, Mac Pro Late 2013, Mac Mini Late 2014",4.5 ,N/A,http://www.amazon.co.uk/INDMEM-Screwdriver-Replacement-MacBook-Retina/dp/B08PK6VCVS/ref=sr_1_52?dchild=1&keywords=ssd+1tb&qid=1623945321&sr=8-52
"WD_BLACK SN850 1TB NVMe Internal Gaming SSD; PCIe Gen4 Technology, up to 7000 MB/s read speeds, M.2 2280",4.7 ,169.99,http://www.amazon.co.uk/WD_BLACK-Internal-Gaming-Technology-speeds/dp/B08KFS6THF/ref=sr_1_51?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-51
Intel SSDPEKNW010T8X1 Solid-State Drive 600p Series - Solid state drive - encrypted - 1 TB - internal - M.2 2280 - PCI Express 3.0 x4 (NVMe) - 256-bit AES:: (Components > SSD Solid State Drive),4.9 ,102.18,http://www.amazon.co.uk/Intel-SSDPEKNW010T8X1-Solid-State-Drive-600p-Noir/dp/B07GCL6BR4/ref=sr_1_52?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-52
Lyntex SSD 240GB 480GB 1TB 2.5 Inch SSD SATAIII 6GB/s Up To 550MB/s Internal Solid State Drive for Notebook Tablet Desktop PC Computer Upgrades to Speed up Game Updates (240GB),5.0 ,N/A,http://www.amazon.co.uk/Lyntex-Internal-Notebook-Computer-Upgrades/dp/B0928W4M55/ref=sr_1_53?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-53
Sabrent 1TB Rocket Nvme PCIe 4.0  M.2 2280 Internal SSD Maximum Performance Solid State Drive (SB-ROCKET-NVMe4-1TB),4.8 ,N/A,http://www.amazon.co.uk/Sabrent-Internal-Maximum-Performance-SB-ROCKET-NVMe4-1TB/dp/B07TLYWMYW/ref=sr_1_54?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-54
WD Blue SN550 500GB High-Performance M.2 Pcie NVMe SSD,4.8 ,50.09,http://www.amazon.co.uk/Blue-SN550-500GB-High-Performance-Pcie/dp/B07YFF3JCN/ref=sr_1_55?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-55
"SanDisk SDSSDXPM2-1T00-G25 Extreme PRO 1 TB M.2 NVMe 3D SSD, Black",4.8 ,120.37,http://www.amazon.co.uk/SanDisk-SDSSDXPM2-1T00-G25-Extreme-NVMe-Black/dp/B07BSV7R67/ref=sr_1_56?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-56
"Silicon Power SP010TBPHDA60S3K 1 TB Rugged Armor A60 Shockproof Water-Resistant 2.5-Inch USB 3.0 External Portable Hard Drive, Military Grade MIL-STD-810G and IPX4, Black",4.7 ,45.70,http://www.amazon.co.uk/Silicon-Power-SP010TBPHDA60S3K-Water-Resistant-MIL-STD-810G/dp/B00LEH3LZE/ref=sr_1_57?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-57
"OWC 1.0TB Aura Pro X2 SSD for MacBook Air (Mid 2013-2017), and MacBook Pro (Retina, Late 2013 - Mid 2015) computers (OWCS3DAPT4MB10)",4.5 ,225.00,http://www.amazon.co.uk/OWC-OWCS3DAPT4MB10-Upgrade-Onwards-Select/dp/B07QDPD1XY/ref=sr_1_58?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-58
"ADATA Ultimate SU800 1TB Solid State Drive (SSD), black",4.7 ,83.90,http://www.amazon.co.uk/ADATA-Ultimate-SU800-1TB-Serial/dp/B01K8A29E6/ref=sr_1_60?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-60
